width,length,alpha,transparency,blur,distance
0.1,0.1,0,64,1,0.0
0.1,0.1,0,64,1,0.1
0.1,0.1,0,64,1,0.2
0.1,0.1,0,64,1,0.3
0.1,0.1,0,64,1,0.4
0.1,0.1,0,64,1,0.5
0.1,0.1,0,64,1,0.6
0.1,0.1,0,64,1,0.7
0.1,0.1,0,64,1,0.8
0.1,0.1,0,64,1,0.9
0.1,0.1,0,64,1,1.0
0.1,0.1,0,64,1,1.1
0.1,0.1,0,64,1,1.2
0.1,0.1,0,64,1,1.3
0.1,0.1,0,64,1,1.4
0.1,0.1,0,64,1,1.5
0.1,0.1,0,64,1,1.6
0.1,0.1,0,64,1,1.7
0.1,0.1,0,64,1,1.8
0.1,0.1,0,64,1,1.9
0.1,0.1,0,65,1,0.0
0.1,0.1,0,65,1,0.1
0.1,0.1,0,65,1,0.2
0.1,0.1,0,65,1,0.3
0.1,0.1,0,65,1,0.4
0.1,0.1,0,65,1,0.5
0.1,0.1,0,65,1,0.6
0.1,0.1,0,65,1,0.7
0.1,0.1,0,65,1,0.8
0.1,0.1,0,65,1,0.9
0.1,0.1,0,65,1,1.0
0.1,0.1,0,65,1,1.1
0.1,0.1,0,65,1,1.2
0.1,0.1,0,65,1,1.3
0.1,0.1,0,65,1,1.4
0.1,0.1,0,65,1,1.5
0.1,0.1,0,65,1,1.6
0.1,0.1,0,65,1,1.7
0.1,0.1,0,65,1,1.8
0.1,0.1,0,65,1,1.9
0.1,0.1,0,66,1,0.0
0.1,0.1,0,66,1,0.1
0.1,0.1,0,66,1,0.2
0.1,0.1,0,66,1,0.3
0.1,0.1,0,66,1,0.4
0.1,0.1,0,66,1,0.5
0.1,0.1,0,66,1,0.6
0.1,0.1,0,66,1,0.7
0.1,0.1,0,66,1,0.8
0.1,0.1,0,66,1,0.9
0.1,0.1,0,66,1,1.0
0.1,0.1,0,66,1,1.1
0.1,0.1,0,66,1,1.2
0.1,0.1,0,66,1,1.3
0.1,0.1,0,66,1,1.4
0.1,0.1,0,66,1,1.5
0.1,0.1,0,66,1,1.6
0.1,0.1,0,66,1,1.7
0.1,0.1,0,66,1,1.8
0.1,0.1,0,66,1,1.9
0.1,0.1,0,67,1,0.0
0.1,0.1,0,67,1,0.1
0.1,0.1,0,67,1,0.2
0.1,0.1,0,67,1,0.3
0.1,0.1,0,67,1,0.4
0.1,0.1,0,67,1,0.5
0.1,0.1,0,67,1,0.6
0.1,0.1,0,67,1,0.7
0.1,0.1,0,67,1,0.8
0.1,0.1,0,67,1,0.9
0.1,0.1,0,67,1,1.0
0.1,0.1,0,67,1,1.1
0.1,0.1,0,67,1,1.2
0.1,0.1,0,67,1,1.3
0.1,0.1,0,67,1,1.4
0.1,0.1,0,67,1,1.5
0.1,0.1,0,67,1,1.6
0.1,0.1,0,67,1,1.7
0.1,0.1,0,67,1,1.8
0.1,0.1,0,67,1,1.9
0.1,0.1,0,68,1,0.0
0.1,0.1,0,68,1,0.1
0.1,0.1,0,68,1,0.2
0.1,0.1,0,68,1,0.3
0.1,0.1,0,68,1,0.4
0.1,0.1,0,68,1,0.5
0.1,0.1,0,68,1,0.6
0.1,0.1,0,68,1,0.7
0.1,0.1,0,68,1,0.8
0.1,0.1,0,68,1,0.9
0.1,0.1,0,68,1,1.0
0.1,0.1,0,68,1,1.1
0.1,0.1,0,68,1,1.2
0.1,0.1,0,68,1,1.3
0.1,0.1,0,68,1,1.4
0.1,0.1,0,68,1,1.5
0.1,0.1,0,68,1,1.6
0.1,0.1,0,68,1,1.7
0.1,0.1,0,68,1,1.8
0.1,0.1,0,68,1,1.9
0.1,0.1,0,69,1,0.0
0.1,0.1,0,69,1,0.1
0.1,0.1,0,69,1,0.2
0.1,0.1,0,69,1,0.3
0.1,0.1,0,69,1,0.4
0.1,0.1,0,69,1,0.5
0.1,0.1,0,69,1,0.6
0.1,0.1,0,69,1,0.7
0.1,0.1,0,69,1,0.8
0.1,0.1,0,69,1,0.9
0.1,0.1,0,69,1,1.0
0.1,0.1,0,69,1,1.1
0.1,0.1,0,69,1,1.2
0.1,0.1,0,69,1,1.3
0.1,0.1,0,69,1,1.4
0.1,0.1,0,69,1,1.5
0.1,0.1,0,69,1,1.6
0.1,0.1,0,69,1,1.7
0.1,0.1,0,69,1,1.8
0.1,0.1,0,69,1,1.9
0.1,0.1,0,70,1,0.0
0.1,0.1,0,70,1,0.1
0.1,0.1,0,70,1,0.2
0.1,0.1,0,70,1,0.3
0.1,0.1,0,70,1,0.4
0.1,0.1,0,70,1,0.5
0.1,0.1,0,70,1,0.6
0.1,0.1,0,70,1,0.7
0.1,0.1,0,70,1,0.8
0.1,0.1,0,70,1,0.9
0.1,0.1,0,70,1,1.0
0.1,0.1,0,70,1,1.1
0.1,0.1,0,70,1,1.2
0.1,0.1,0,70,1,1.3
0.1,0.1,0,70,1,1.4
0.1,0.1,0,70,1,1.5
0.1,0.1,0,70,1,1.6
0.1,0.1,0,70,1,1.7
0.1,0.1,0,70,1,1.8
0.1,0.1,0,70,1,1.9
0.1,0.1,0,71,1,0.0
0.1,0.1,0,71,1,0.1
0.1,0.1,0,71,1,0.2
0.1,0.1,0,71,1,0.3
0.1,0.1,0,71,1,0.4
0.1,0.1,0,71,1,0.5
0.1,0.1,0,71,1,0.6
0.1,0.1,0,71,1,0.7
