width,length,beta,distance,success
1.1,15.0,0.0,2.3,1
1.1,15.0,0.0,0.1,1
1.1,15.0,0.0,2.7,1
1.1,10.0,10.0,0.3,1
1.1,10.0,10.0,0.5,1
1.1,15.0,0.0,0.7,1
1.1,15.0,0.0,2.1,1
1.1,15.0,0.0,2.5,1
1.1,15.0,0.0,1.1,1
1.1,15.0,0.0,1.3,1
1.1,15.0,5.0,0.1,1
1.1,15.0,5.0,0.3,1
1.1,15.0,0.0,0.3,1
1.1,15.0,0.0,0.9,1
1.1,10.0,15.0,0.1,1
1.1,15.0,0.0,1.9,1
1.1,10.0,10.0,1.1,1
1.1,15.0,0.0,1.7,1
1.1,15.0,0.0,1.5,1
1.1,10.0,10.0,0.7,1
1.1,15.0,0.0,0.5,1
1.1,10.0,5.0,1.9,1
1.1,10.0,10.0,0.1,1
1.1,10.0,15.0,0.3,1
1.1,10.0,10.0,0.9,1
1.3,1.0,10.0,0.7,0
1.3,1.0,5.0,1.1,0
1.3,1.0,10.0,1.1,0
1.3,1.0,0.0,2.5,0
1.3,1.0,0.0,2.7,0
1.3,1.0,5.0,1.7,0
1.3,1.0,10.0,0.5,0
1.3,1.0,10.0,0.9,0
1.3,1.0,5.0,2.1,0
1.3,1.0,5.0,2.3,1
1.3,1.0,10.0,1.3,0
1.3,1.0,10.0,1.5,0
1.3,1.0,5.0,1.3,0
1.3,1.0,5.0,1.9,0
1.3,1.0,5.0,0.7,0
1.3,1.0,10.0,0.3,0
1.3,1.0,5.0,0.5,0
1.3,1.0,10.0,0.1,0
1.3,1.0,5.0,2.5,0
1.3,1.0,5.0,0.1,0
1.3,1.0,5.0,1.5,0
1.3,1.0,0.0,2.1,0
1.3,1.0,0.0,2.3,0
1.3,1.0,5.0,0.9,0
1.3,1.0,5.0,0.3,0
1.7,2.0,90.0,1.9,0
1.7,2.0,45.0,1.1,1
1.7,3.0,0.0,0.3,1
1.7,2.0,30.0,1.3,1
1.7,2.0,30.0,1.5,1
1.7,2.0,90.0,0.3,1
1.7,2.0,90.0,1.7,1
1.7,3.0,0.0,0.1,0
1.7,2.0,90.0,0.7,1
1.7,2.0,90.0,0.9,1
1.7,3.0,0.0,0.5,1
1.7,3.0,0.0,0.7,1
1.7,2.0,45.0,1.3,1
1.7,2.0,90.0,0.5,1
1.7,2.0,45.0,0.7,1
1.7,2.0,90.0,1.5,1
1.7,2.0,45.0,0.5,1
1.7,2.0,90.0,1.3,1
